,Year,Company Name,Country,GICS Sub-Industry,Industry (Exiobase),Environmental Intensity (Sales),Environmental Intensity (Op Inc),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,% Imputed
3816,2017,ANHEUSER-BUSCH INBEV,BELGIUM,Brewers,Manufacture of beverages,-4.0661677298982575,-13.539659686530426,-2014783257.3413072,-1826059339.0672803,-450381.54438214167,-24556003.350514676,-5674157.448623738,-79634.89921770555,-210076.95947442722,-157860647.35390478,106983.28209128461,-815260435.2149183,-496672936.9495008,-496007154.6998474,-6138996.621549995,-6139184.5235355375,-80339468.02417246,44054371.33322109,-11039.724534522094,-157860647.35390478,-210076.95947442722,-3695.421289347293,-307.57245629654005,-220370.58723269438,-4404.68186657318,53491.641045642304,53491.641045642304,-75893.62233571672,0.06829020494477521
3820,2017,CARLSBERG A/S,DENMARK,Brewers,Manufacture of beverages,-2.5940106609761204,-19.130248291804325,-258597150.98209104,-215590476.46364328,-63059.65708992381,-2808814.008407812,-658653.6393979026,-10207.076185218146,-369571.08045711997,-39124203.06780563,27834.010895928168,-94803779.84200905,-63662203.88412902,-63622943.103739105,-702179.5382886288,-702494.3394608494,-10392059.698966214,14832670.400678491,-36629.501576339586,-39124203.06780563,-369571.08045711997,-1120.76275,-291.13499355369237,-29771.16307963137,-1335.87025,13917.005447964084,13794.73682509177,-8950.137537345834,0.029563072033273248
3824,2017,HEINEKEN NV,NETHERLANDS,Brewers,Manufacture of beverages,-1.9130327595798895,-12.58186930339081,-502833766.84050524,-435035717.62818927,-113177.77393168483,-5830670.706850976,-1354336.2837715973,-19582.02913608839,-193864.0253750357,-60326829.45866666,40411.06541622335,-194721570.3884788,-122422393.89817564,-122300731.98940718,-1457667.676712744,-1457667.676712744,-19864428.183584236,19959680.62444036,-12616.860120609806,-60326829.45866666,-193864.0253750357,-1426.6864532329512,-165.0859478569819,-54658.45169801446,-1700.5097545862548,20205.532708111674,20205.532708111674,-18137.63927431167,0.09275101854285271
3825,2017,KIRIN HOLDINGS CO LTD,JAPAN,Brewers,Manufacture of beverages,-1.897490771611269,-19.58373053220513,-313968764.0081561,-298289249.5191273,-72575.23189721546,-3969470.7476292998,-925303.8843412552,-12839.06623264637,-35544.43390415462,-10675570.41879537,11789.293771154991,-132923463.85824694,-80152508.31555706,-80087706.81278145,-992367.6869073249,-992367.6869073249,-12958010.577402564,4890357.632755215,-4296.102208279615,-10675570.41879537,-35544.43390415462,-449.34767000000005,-103.2804185877856,-35602.68039772605,-535.5907699999999,5894.646885577496,5894.646885577496,-12384.142715646369,0.012868677779797852
3826,2017,HEINEKEN HOLDING NV,NETHERLANDS,Brewers,Manufacture of beverages,-1.8959349623528687,-12.717741321257394,-498795026.6877555,-435000392.7735157,-113182.20545757272,-5830241.873304604,-1354224.1871376166,-19581.906940763176,-194041.16721108748,-56323810.564919986,40447.990731844904,-194705756.13143268,-122421620.74469627,-122299897.16016687,-1457560.468326151,-1457560.468326151,-19864427.830158018,19977918.636706844,-12628.388684316506,-56323810.564919986,-194041.16721108748,-1427.9900775505985,-165.23679393506762,-54658.903539843785,-1702.063582943881,20223.995365922452,20223.995365922452,-18136.197278308664,0.09345385118517716
3828,2017,SAPPORO HOLDINGS LTD,JAPAN,Brewers,Manufacture of beverages,-1.5400243038498451,-49.87067430365044,-75410993.72575876,-73604707.63731281,-18760.850594025975,-979965.8459348491,-228957.2980183148,-3262.987566009501,-10518.938596775644,-570140.1873511617,5320.019615231708,-32909419.1103969,-20415099.32804133,-20401708.9781297,-244991.46148371228,-244991.46148371228,-3309452.704904555,2703907.938006622,-1271.3786765101195,-570140.1873511617,-10518.938596775644,-194.9296580766472,-30.55709357607107,-9104.666070495847,-232.34242132624877,2660.009807615854,2660.009807615854,-3065.63907275964,0.088491764888291
3832,2017,ASAHI GROUP HOLDINGS LTD,JAPAN,Brewers,Manufacture of beverages,-1.1214072929868155,-12.484961272957964,-207571435.79597571,-190575976.88045284,-44549.664971459824,-2522448.829440413,-588299.3531280805,-8020.529211139388,-39762.075367565136,-13795362.191290721,2983.7278865566914,-84470747.48621796,-49758894.41325995,-49721461.879901856,-630612.2073601033,-630612.2073601033,-8026848.518956517,-465075.0657496655,-4805.870315813652,-13795362.191290721,-39762.075367565136,-157.42807,-115.50722980338669,-21915.88195802483,-187.64316999999997,1491.8639432783457,1491.8639432783457,-7861.147654139389,0.019439547459380903
5498,2016,COMPANIA CERVECERIAS UNIDAS,CHILE,Brewers,Manufacture of beverages,-4.805951726342482,-38.32070177250295,-111839521.18658945,-47422538.21958222,-10839.579887918784,-527747.7448076095,-123611.37063996312,-53468.468950785646,-63281.67059531536,-63635040.509382404,-2993.6227432124924,-17728319.164861493,-10070800.137982266,-10065872.799249468,-131891.64603418406,-132074.39996381267,-1618972.8223864834,-8317966.407464754,-13643.960832210863,-63635040.509382404,-63281.67059531535,-91.63668665016174,-448.4276018509395,-4639.061163276116,-109.22447547843932,-1496.8113716062462,-53130.065610888676,-1742.4409272948296,0.10685549978906865
5571,2016,ANHEUSER-BUSCH INBEV,BELGIUM,Brewers,Manufacture of beverages,-3.6870195045304714,-13.435438858995555,-1520501489.5100415,-1371431381.4092553,-340915.1958933591,-18464315.090133198,-4259886.952080137,-60103.553052509465,-174842.4140090251,-125859084.71867256,89039.8230545873,-612117601.0283221,-374763219.13940716,-374226066.9848369,-4616075.263584127,-4616231.650257047,-60643267.21625793,36665480.359296665,-9188.1189276517,-125859084.71867256,-174842.4140090251,-3075.61752905357,-255.9857629133228,-166445.86445529145,-3665.9194440939214,44519.91152729365,44519.91152729365,-56989.77092638005,0.07448010013150869
5630,2016,CARLSBERG A/S,DENMARK,Brewers,Manufacture of beverages,-3.1748821588574447,-26.122479828475697,-282023260.49312747,-235883284.16682586,-69230.98891782816,-3086189.031409101,-724053.40148016,-11176.75780644078,-329308.7870198418,-41951139.8360576,31122.476389429947,-104228565.29735453,-70082709.92714898,-70041205.71625856,-771525.9047358778,-771806.4104292566,-11441628.427962763,17641808.843585636,-32638.962762794778,-41951139.8360576,-329308.7870198418,-1212.5089100000002,-259.4177863365576,-32796.18830040923,-1445.22521,15561.238194714973,15452.289919219864,-9840.254889945672,0.02416996051374934
